"observed_month","district","point","latitude","longitude","sf_find_neighborhood","supervisor","other_vehicles","passenger_vehicles","structures","tents","data_loaded_at","data_as_of"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.388758984 37.723788405)","37.72378840494","-122.3887589837","Hunters Point","10","3","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.386728331 37.726066053)","37.72606605293","-122.38672833119","Hunters Point","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.38588566 37.726985473)","37.7269854725","-122.38588565993","Hunters Point","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.406120199 37.737639633)","37.73763963271","-122.40612019925","Apparel City","10","0","0","2","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.384376161 37.728669663)","37.72866966316","-122.3843761614","Hunters Point","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.383785565 37.728960392)","37.72896039205","-122.38378556488","Hunters Point","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.404920509 37.737501617)","37.73750161729","-122.40492050863","Apparel City","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.403882812 37.73705263)","37.73705262961","-122.40388281243","Apparel City","10","0","0","1","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.383403888 37.726599009)","37.72659900858","-122.38340388808","Hunters Point","10","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.38361891 37.726008565)","37.72600856466","-122.38361890991","Hunters Point","10","7","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.37142576 37.730246239)","37.73024623863","-122.37142575981","Hunters Point","10","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.404113164 37.737883603)","37.73788360323","-122.40411316437","Apparel City","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.384223864 37.726442087)","37.72644208681","-122.38422386439","Hunters Point","10","3","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.402782766 37.738826605)","37.73882660543","-122.40278276614","Apparel City","10","0","1","2","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.474621013 37.72750515)","37.72750514976","-122.47462101281","Stonestown","7","0","0","1","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.381641647 37.725463657)","37.72546365713","-122.38164164664","Hunters Point","10","3","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.475169189 37.725832111)","37.72583211084","-122.47516918927","Stonestown","7","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.381032853 37.726055629)","37.72605562912","-122.38103285349","Hunters Point","10","4","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.400002073 37.738141497)","37.73814149661","-122.40000207288","Silver Terrace","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.380702072 37.72644192)","37.72644192037","-122.38070207233","Hunters Point","10","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.397549446 37.736076905)","37.73607690491","-122.39754944562","Silver Terrace","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.399515883 37.737017016)","37.73701701575","-122.39951588345","Silver Terrace","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.398811968 37.737733688)","37.73773368834","-122.39881196761","Silver Terrace","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.373491824 37.728759757)","37.72875975663","-122.37349182392","Hunters Point","10","2","1","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.40004567 37.739194047)","37.73919404695","-122.40004567006","Silver Terrace","10","0","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.381956604 37.727773668)","37.72777366755","-122.38195660429","Hunters Point","10","4","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.382394103 37.72724408)","37.72724408048","-122.38239410278","Hunters Point","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.3810305 37.726438385)","37.72643838513","-122.38103049954","Hunters Point","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","INGLESIDE","POINT (-122.424920015 37.737407101)","37.73740710088","-122.42492001504","Holly Park","8","0","0","1","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.382165562 37.726243047)","37.72624304657","-122.38216556211","Hunters Point","10","3","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.473191731 37.717638474)","37.71763847424","-122.47319173068","Parkmerced","7","0","1","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.383173711 37.726787526)","37.72678752569","-122.38317371146","Hunters Point","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.377152645 37.731175653)","37.7311756531","-122.37715264487","Hunters Point","10","0","1","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.398927211 37.740791877)","37.74079187718","-122.39892721133","Produce Market","10","3","2","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.474783286 37.724647516)","37.72464751597","-122.47478328645","Stonestown","7","3","2","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.397149983 37.742300179)","37.7423001795","-122.39714998338","Produce Market","10","0","1","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.475189641 37.725168613)","37.72516861276","-122.47518964112","Stonestown","7","4","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.391844105 37.722231734)","37.72223173364","-122.39184410501","Bret Harte","10","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","INGLESIDE","POINT (-122.418820336 37.737973712)","37.73797371239","-122.41882033646","Holly Park","9","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","INGLESIDE","POINT (-122.42042128 37.738115298)","37.73811529831","-122.42042127997","Holly Park","9","1","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.399553864 37.743254377)","37.74325437696","-122.39955386352","Produce Market","10","23","3","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.395950352 37.74713882)","37.74713881952","-122.39595035236","Produce Market","10","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.380849588 37.727908456)","37.72790845634","-122.38084958755","Hunters Point","10","2","2","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.480502091 37.731168785)","37.73116878471","-122.48050209135","Merced Manor","7","0","1","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.39463234 37.746375338)","37.74637533792","-122.39463234027","Produce Market","10","2","1","1","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.477963381 37.732647605)","37.73264760511","-122.47796338052","Merced Manor","7","0","1","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","TARAVAL","POINT (-122.477910742 37.73317607)","37.73317607007","-122.47791074216","Merced Manor","7","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.380132652 37.727174981)","37.72717498122","-122.38013265164","Hunters Point","10","2","0","0","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
"2025 Jun 01 12:00:00 AM","BAYVIEW","POINT (-122.395063746 37.745179927)","37.74517992668","-122.39506374597","Produce Market","10","3","3","3","0","2025/10/02 03:43:38 PM","2025/10/02 02:02:39 PM"
