observed_month,district,point,latitude,longitude,sf_find_neighborhood,supervisor,other_vehicles,passenger_vehicles,structures,tents,data_loaded_at,data_as_of,dist_to_bathroom_m,bathrooms_within_500m,needles_within_500m,underserved,kmeans_cluster,dbscan_cluster
2025-06-01,TARAVAL,POINT (-122.45308958 37.723017109),37.72301710907,-122.45308957994,Ingleside,11.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,293.1682617014894,1,56,False,0,-1
2025-06-01,TARAVAL,POINT (-122.456125505 37.720781473),37.72078147326,-122.45612550527,Ingleside,11.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,287.6714400022444,5,47,False,0,-1
2025-06-01,SOUTHERN,POINT (-122.402513847 37.768680643),37.7686806428,-122.40251384676,Showplace Square,6.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,406.3162980321173,1,1009,False,5,8
2025-06-01,SOUTHERN,POINT (-122.402006239 37.768965287),37.76896528705,-122.4020062387,Showplace Square,6.0,1,0,1,1,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,355.5717678624505,1,876,False,5,8
2025-06-01,TARAVAL,POINT (-122.456232794 37.716021174),37.71602117411,-122.45623279363,Oceanview,11.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,79.64095864241621,6,19,False,0,-1
2025-06-01,TARAVAL,POINT (-122.457819656 37.714989192),37.71498919194,-122.45781965554,Oceanview,11.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,24.224790034336337,6,20,False,0,-1
2025-06-01,SOUTHERN,POINT (-122.400936373 37.768186886),37.76818688579,-122.40093637258,Showplace Square,10.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,338.57608724343294,3,720,False,5,8
2025-06-01,BAYVIEW,POINT (-122.376012854 37.740215411),37.74021541119,-122.37601285375,Central Waterfront,10.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,9.257412446336437,4,1,False,0,-1
2025-06-01,TARAVAL,POINT (-122.458008081 37.716599619),37.7165996189,-122.45800808072,Oceanview,11.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,25.881628385219365,6,23,False,0,-1
2025-06-01,BAYVIEW,POINT (-122.389165118 37.726364112),37.72636411215,-122.38916511811,Bayview,10.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,346.63375804403086,3,99,False,3,3
2025-06-01,BAYVIEW,POINT (-122.384268596 37.741399578),37.74139957798,-122.38426859581,India Basin,10.0,2,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,208.7282382084457,7,152,False,0,3
2025-06-01,TARAVAL,POINT (-122.461545914 37.724997566),37.72499756613,-122.46154591441,Ingleside,11.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,470.6676582964106,1,33,False,1,-1
2025-06-01,TARAVAL,POINT (-122.465792187 37.726805867),37.72680586705,-122.46579218656,Mt. Davidson Manor,7.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,152.37931983027,1,19,False,0,5
2025-06-01,BAYVIEW,POINT (-122.38472356 37.742532335),37.74253233451,-122.38472355993,India Basin,10.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,228.9390491576288,8,167,False,0,3
2025-06-01,TARAVAL,POINT (-122.469884902 37.730736296),37.73073629641,-122.46988490224,Balboa Terrace,7.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,390.3016891076856,1,43,False,1,-1
2025-06-01,BAYVIEW,POINT (-122.390716755 37.724952515),37.72495251516,-122.39071675458,Bayview,10.0,2,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,210.16419251327645,3,91,False,0,3
2025-06-01,BAYVIEW,POINT (-122.382881135 37.742186058),37.74218605775,-122.38288113455,India Basin,10.0,4,2,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,343.3002515019479,8,132,False,3,3
