latitude,longitude,resource_type,access,supervisor_district,analysis_neighborhood,needles_within_500m,encampments_within_500m
37.7377807,-122.48449475,drinking_water,limited_access,4.0,Sunset/Parkside,15,4
37.77375254047893,-122.45599542644344,restroom,publicly_accessible,1.0,Golden Gate Park,133,14
37.77878684551738,-122.40633918397188,restroom,publicly_accessible,6.0,South of Market,3682,40
37.77163407,-122.49513618,drinking_water,publicly_accessible,1.0,Golden Gate Park,17,11
37.75712697,-122.48691579,drinking_water,publicly_accessible,4.0,Sunset/Parkside,40,7
37.78479965,-122.41547704,drinking_water,publicly_accessible,5.0,Tenderloin,4484,81
37.77916559,-122.41722141,drinking_water,limited_access,5.0,Tenderloin,5505,46
37.75959507,-122.42274035,drinking_water,publicly_accessible,9.0,Mission,1048,2
37.7433639,-122.48072331,drinking_water,publicly_accessible,4.0,Sunset/Parkside,43,7
37.74316235800006,-122.47934506399996,drinking_water,limited_access,4.0,Sunset/Parkside,58,6
37.76724865,-122.45680306,drinking_water,publicly_accessible,5.0,Golden Gate Park,136,9
37.764540240421184,-122.4382338387157,restroom,publicly_accessible,8.0,Castro/Upper Market,914,6
37.76698914381392,-122.45335127496452,restroom,limited_access,5.0,Golden Gate Park,213,14
37.74353236081232,-122.48092128937846,restroom,publicly_accessible,4.0,Sunset/Parkside,38,6
37.803614810000006,-122.42127041,drinking_water,publicly_accessible,2.0,Russian Hill,220,1
37.73559816229883,-122.478895784974,restroom,publicly_accessible,4.0,Sunset/Parkside,22,19
37.73620116438634,-122.4782232264926,restroom,publicly_accessible,4.0,Sunset/Parkside,20,19
37.796788830000025,-122.429023471,drinking_water,limited_access,2.0,Marina,336,0
37.72560824692619,-122.49952830769824,restroom,limited_access,7.0,Lakeshore,1,6
37.73806926327971,-122.49828821730264,restroom,publicly_accessible,4.0,Sunset/Parkside,45,6
37.78453259984284,-122.43517781586444,restroom,publicly_accessible,5.0,Japantown,565,9
37.760135940000055,-122.39766410099998,drinking_water,limited_access,10.0,Potrero Hill,258,6
37.72325489,-122.42086562,drinking_water,publicly_accessible,11.0,McLaren Park,9,15
