latitude,longitude,district,sf_find_neighborhood,supervisor,tents,structures,observed_month,dist_to_bathroom_m,bathrooms_within_500m,needles_within_500m,underserved
37.7241741195,-122.39102389379,BAYVIEW,Bayview,10.0,0,0,2025-06-01,214.24994760846488,4,83,False
37.78680716678,-122.41230323911,CENTRAL,Tenderloin,5.0,0,1,2025-06-01,85.94212453662449,11,2843,False
37.76945424145,-122.47874433749,RICHMOND,Golden Gate Park,4.0,0,1,2025-06-01,156.15538445326897,5,27,False
37.77286830118,-122.39829774946,SOUTHERN,Mission Bay,6.0,1,0,2025-06-01,138.17859480709564,2,592,False
37.72340641011,-122.39201185241,BAYVIEW,Bret Harte,10.0,0,0,2025-06-01,209.25431660583396,4,74,False
37.71871152729,-122.47257415205,TARAVAL,Stonestown,7.0,0,0,2025-06-01,212.8533633820231,4,5,False
37.78753449877,-122.41246920079,CENTRAL,Lower Nob Hill,3.0,0,1,2025-06-01,150.92594828339136,9,2489,False
37.77622467025,-122.39454299212,SOUTHERN,Mission Bay,6.0,0,1,2025-06-01,147.36376818446087,4,659,False
37.72172386823,-122.39360866513,BAYVIEW,Bret Harte,10.0,0,0,2025-06-01,236.26852290450162,4,62,False
37.77006300292,-122.4724666173,RICHMOND,Golden Gate Park,7.0,0,1,2025-06-01,133.90196898419157,12,38,False
37.71484570523,-122.47025940567,TARAVAL,Merced Heights,11.0,0,0,2025-06-01,231.53104263669604,5,7,False
37.71474438912,-122.4698376283,TARAVAL,Merced Heights,11.0,0,0,2025-06-01,244.90299055222337,5,8,False
37.73981848352,-122.38613739072,BAYVIEW,Bayview,10.0,0,0,2025-06-01,36.8640589960113,7,226,False
37.77198653523,-122.49185435627,RICHMOND,Golden Gate Park,1.0,0,1,2025-06-01,246.22981570218565,10,13,False
37.72036369969,-122.39182006982,BAYVIEW,Bret Harte,10.0,0,0,2025-06-01,162.54498650686403,7,58,False
37.72230201377,-122.39011350597,BAYVIEW,Bret Harte,10.0,0,1,2025-06-01,383.95966688495827,5,70,False
37.73596035232,-122.40767253427,INGLESIDE,Bernal Heights,9.0,0,2,2025-06-01,504.88491179451927,0,197,False
37.73674506915,-122.38848174585,BAYVIEW,Bayview,10.0,0,1,2025-06-01,200.82233926816644,8,281,False
37.74280073784,-122.43556134403,INGLESIDE,Diamond Heights,8.0,0,0,2025-06-01,191.13278386301957,6,20,False
37.723103222,-122.38944053857,BAYVIEW,Bayview,10.0,0,0,2025-06-01,381.96607548681123,4,72,False
37.72378840494,-122.3887589837,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,406.0262155752842,3,77,False
37.72606605293,-122.38672833119,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,492.36027597288813,2,76,False
37.7269854725,-122.38588565993,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,385.4038256504908,2,63,False
37.73763963271,-122.40612019925,BAYVIEW,Apparel City,10.0,0,2,2025-06-01,520.7303215901192,0,356,False
37.72866966316,-122.3843761614,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,197.44656835526823,5,46,False
37.72896039205,-122.38378556488,BAYVIEW,Hunters Point,10.0,0,0,2025-06-01,164.8175369005771,5,45,False
37.73750161729,-122.40492050863,BAYVIEW,Apparel City,10.0,0,0,2025-06-01,462.8854550075159,2,366,False
